mean,min,max,q0.025,q0.05,q0.25,q0.5,q0.75,q0.9,q0.975,year,alt
77982638.6411529,6161336.8236236,333977662.074007,15659658.1001034,20651783.4355695,43172202.4447723,62867637.7108833,100929110.600962,154740414.087227,201436851.507164,2002,MaxWater_noSMSCG
143608342.029529,13372638.5117774,578883769.118796,27629461.7829453,35500124.829086304,77951243.7344456,116134724.210482,189168462.52396,270678765.327065,389827633.3272,2003,MaxWater_noSMSCG
115079911.659636,14930474.5674175,485729833.395099,21928849.8713293,29994199.0963085,57530816.2595711,92497286.6414532,154235091.337526,218750474.82741,317127918.663083,2004,MaxWater_noSMSCG
101341170.977373,11062057.9661724,566734925.798849,18232769.2357941,23692478.0454996,50172795.1918881,83448966.309818,131304528.23862,195861917.057948,279889050.878793,2005,MaxWater_noSMSCG
108098403.472659,7497361.53216675,546189150.191402,19796033.8709262,23027838.6128547,53571235.7690263,86919363.6781449,136554833.803799,214915835.397137,317842488.799006,2006,MaxWater_noSMSCG
52493482.9655081,3512559.87390314,276444280.567223,7876106.24685287,11209515.5373686,26647153.1600402,40586394.8333346,66258956.3693599,106275706.647798,154479417.410306,2007,MaxWater_noSMSCG
41883313.9615932,3935013.65816006,217645557.776271,5961327.00258352,9678371.13712334,20762541.4760524,32704052.4429041,54156882.313549,83632762.3230439,124463349.369959,2008,MaxWater_noSMSCG
35049166.4033191,3043220.38991751,203974939.286801,5204925.23227145,7468213.28714526,15957437.7360617,26135787.4076278,45150079.6965478,69426569.1427964,108675949.492044,2009,MaxWater_noSMSCG
19325595.0716361,1440165.23157218,88896575.5598632,2968840.15974687,3882139.1865378,8195350.51347905,14654450.6736617,25719047.1680284,38933524.2126226,60793364.673117,2010,MaxWater_noSMSCG
10259606.7917768,597328.009895592,58739778.2226634,1572457.82273115,2024147.31499663,4353902.37465391,7479151.37701179,13891942.2545072,20614100.679283,33385106.2552763,2011,MaxWater_noSMSCG
10043746.8939408,616083.723618579,54692114.7405036,1697401.42520078,1947115.21316641,4134193.09512005,7604720.7088671,13048971.6353885,20322173.5988615,33858125.8904539,2012,MaxWater_noSMSCG
4015257.93098396,244184.105834279,21832298.8417117,712930.259389884,792469.047938009,1592289.10586954,2909950.22273306,5235549.95803956,8078454.53791046,13135201.5553779,2013,MaxWater_noSMSCG
1624257.8683502,80688.1160352393,10544376.5605798,208002.108816462,282941.844103145,655452.076640528,1144381.07936425,2144856.53935325,3471796.88730263,5474996.08906482,2014,MaxWater_noSMSCG
1701376.05739101,300667.711347018,4455635.67050432,572698.19582642,713707.464461969,1151806.78968,1612209.35906072,2147496.05932107,2614469.56369952,3539902.85054988,1996,MaxDS_Even
2083989.16604493,247249.336081214,5773955.13807989,659594.474817709,839143.858115109,1399278.74064599,1879046.57138495,2664224.9682933,3325180.76318938,4190197.61808569,1997,MaxDS_Even
3521716.56140888,375705.422249171,8675911.33698395,1134511.75739739,1207487.50292393,2306629.07850402,3134771.39725185,4768899.19434143,5860402.48594383,7212572.55430469,1998,MaxDS_Even
8136395.84690799,915225.727019231,20538099.2543243,2137949.77436444,2778744.32059788,5445585.34480542,7299461.9751806,10654344.2325517,13413236.1037615,16668134.9615688,1999,MaxDS_Even
19044351.3442235,2615659.16878134,47401508.6987364,5138846.15654433,7021563.16881565,12346925.8851527,17065867.5449189,25387952.0136023,33518746.3926151,39631435.2476824,2000,MaxDS_Even
31467801.8628521,3861159.0428632,103683452.473142,8219469.40073877,10354126.1215968,19503575.8312131,28129809.3363827,40121341.0470952,56800656.1498583,68734508.6503086,2001,MaxDS_Even
53120053.4070536,6856882.38545384,174958450.931378,13618848.2604899,17760869.1186063,30647196.9259157,47992280.0537546,69200513.5416098,92542993.6186043,120540828.911076,2002,MaxDS_Even
102822350.118566,15399728.9141595,423273441.959058,23224788.5639661,30548810.6855437,56789749.307975,91505981.5819563,131685236.604725,180289276.805233,238694957.488581,2003,MaxDS_Even
91731818.7612013,8619957.79962077,392265826.764387,20112966.3075302,26473369.7510636,52624561.8232091,81347899.8771377,117400162.658492,160717533.053254,230387216.078067,2004,MaxDS_Even
79247173.517704,8801325.08796286,316813936.27202,17948400.4512699,21082302.4370342,45385928.316782,68675046.6372058,104329287.339494,142338173.63998,210290748.240052,2005,MaxDS_Even
87330772.3386196,8353432.6434009,345761936.763861,18653873.6010723,22713312.4511692,47153598.3807089,74738977.492431,113663026.187145,156418201.139966,229895667.114927,2006,MaxDS_Even
53769174.2010225,4962096.47656295,223802924.317963,10067204.088257,14362149.8764108,26500600.1359359,46070497.2566319,68916377.9080522,100119896.623761,142344002.328616,2007,MaxDS_Even
44439775.6888827,3064672.80993143,179791533.064018,8653294.48800939,10334325.2001021,21698249.7612223,37614058.9473136,58347329.6218308,79705687.1912248,134146936.882544,2008,MaxDS_Even
37196903.6845565,2539864.22295721,174111000.278218,6710264.15183203,8083262.75955587,17863042.1970209,31167557.5973557,46888924.8768047,69823380.5652966,110440938.91695,2009,MaxDS_Even
20031007.139118,2207344.11849069,92831115.2255902,3534806.65834438,4357219.2304195,9465073.05919925,16418990.8164555,26492745.7153313,37698134.5493794,59222732.3826858,2010,MaxDS_Even
10871003.280606,1023010.44902796,52604104.1112071,1633047.67608692,2328983.17733122,5051107.52392332,8680989.23805291,14055280.9439325,20702445.6793956,36179012.3840972,2011,MaxDS_Even
11866929.8579241,1099956.70909493,56621144.7887902,1729431.8818003,2491616.09570953,5328466.92561239,9055060.9020714,15501885.9241608,22691700.4585406,36538911.147534,2012,MaxDS_Even
4491171.73705801,318076.585835023,24641522.2120815,614987.581538276,890078.193737621,1977574.30027544,3379122.58928387,5858862.8011533,9083509.47465548,13798246.1329158,2013,MaxDS_Even
1858059.0037906,115971.077269571,10903888.8820913,224392.846795228,351603.346721193,794836.819333927,1385788.32868615,2325871.07276767,3881088.03288177,6080474.92958327,2014,MaxDS_Even
1768209.72812414,325625.755808527,5045778.13984288,614373.605787729,714673.085541258,1245266.49344701,1653472.96445575,2159830.43894489,2791369.84997579,3413357.73887462,1996,MaxDS_Hist
2177206.2718086,377760.913806438,5868938.6228,722723.792691924,878728.624398879,1521074.93351372,1985028.58623416,2677761.2362472,3437361.88916272,4681999.5284388,1997,MaxDS_Hist
3583785.83740601,541003.170985745,11427334.4377513,1194004.62325848,1455023.0324802,2433332.6565734,3233415.21101809,4478530.52034829,5784294.63333337,8025626.77087714,1998,MaxDS_Hist
8313406.3391072,1108362.90671182,25619045.8859186,2764050.41630295,3160415.35252334,5476383.33638044,7350506.43323992,10737092.5230548,13733646.8457886,19631570.6990277,1999,MaxDS_Hist
19613306.151978,1852727.78248349,55469719.8007344,6564838.36231122,7441083.29964111,12095215.546045,17279420.9024282,24500899.7315634,34027560.4173509,44516798.5007667,2000,MaxDS_Hist
30363420.223101,3525513.74873427,89550984.8827125,8956147.02391201,10860383.3121636,18365692.0407057,26510951.5973393,38622792.3043334,52412857.2561408,74229076.4279474,2001,MaxDS_Hist
50263536.7048995,5782972.04550126,169163940.345167,13888407.6471906,16615333.264975,28736282.8228009,44552075.5518307,65538802.5369259,87788706.6624798,121846329.093613,2002,MaxDS_Hist
96449432.6950836,10790624.9022982,333565221.78155,26571305.4093338,32653726.7544276,55611585.9758977,84333857.0980645,124654182.46108,170476092.372619,223779955.85452,2003,MaxDS_Hist
105699222.812736,12014913.9982035,334673260.986837,24078768.3379292,30652852.4584966,62100513.1399158,94006266.398447,136126055.863635,188488931.87176,250568777.865255,2004,MaxDS_Hist
88124968.9060867,9226399.70218986,300862264.578241,19845605.1175621,23931212.3613638,52470758.0332554,76766984.2586797,109134105.241146,162626365.259336,215910861.786915,2005,MaxDS_Hist
105840074.381713,12535697.3237099,408229344.018684,22328736.5604943,28379286.7825631,61143335.7909381,90889730.1008142,136728803.589193,197286464.247342,270767309.762299,2006,MaxDS_Hist
58348089.8891491,7734338.35658737,243282985.00359,12288628.7246339,14663649.3177658,33533048.1851968,47635287.7514056,75163966.2994395,103695301.852738,157386516.77782,2007,MaxDS_Hist
46158694.6110143,4625834.60777703,194258891.046673,9400834.63145545,12442622.2477129,24723824.01095,39267182.0776542,58366934.854398,91429798.7679092,118781779.826338,2008,MaxDS_Hist
38107911.6507395,4176458.21565792,217170580.655125,7646343.2419534,9746647.78026558,19893757.7306838,31871454.676846,48730612.7880989,72588586.2509175,103750108.060423,2009,MaxDS_Hist
21234940.1537089,2071176.53060394,110618834.734688,3676694.17007367,4873176.09268857,11054936.478128,17795846.7815447,26654027.5110427,41829113.3545886,60618181.356826,2010,MaxDS_Hist
11674912.6187167,647183.344063673,62803439.7022443,1879901.6165421,2649948.12657011,5671658.67057067,9301191.73387489,14487054.9317364,22685826.8383051,32551149.3659342,2011,MaxDS_Hist
10776868.2485451,537364.420367869,70009200.4247428,1715345.96252529,2168788.52929102,5132073.95214133,8491620.18149318,13794558.9150329,21229541.8208395,31186014.1750582,2012,MaxDS_Hist
4341156.70559426,233349.033269983,28177136.733368,704332.722343707,848929.950112333,1975895.67311531,3391937.53532808,5253066.34959125,8830810.34218232,12998550.4956806,2013,MaxDS_Hist
1714586.65134407,83416.1791853891,13319819.3387044,252242.004082029,306857.409327268,751593.911129482,1305279.56895586,2078172.69747854,3477244.48803982,5532001.77232008,2014,MaxDS_Hist
6701022.60396907,844379.296874596,20126836.8235027,2166078.69723328,2468402.94220567,4248882.83052821,6028845.62001683,8598050.75148527,11303238.0011676,15247749.0350123,1996,SummerFall_Even
