"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxDS_Even",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3955.45142587623,-4850,-9273.45425491567,-10821.722769359,-9812.48349212448,-9280.06850500752,-7571.60595845508,-5290.32258064516
"MaxDS_Even",2006,-5000,-4464.28571428571,-435.29257326254,1662.90676085766,4227.07831073353,-4505,-8122.54908618446,-7093.35945377744,-6608.22716575383,-3245.1957208974,-9101.76566099248,-5290.32258064516
"MaxDS_Even",2007,-4913.6604460021,-4030.35714285714,-3500,-2319.23538465342,-2835.7421385915,-4400,-5122.63573050861,-3822.69015375311,-5282.07871730008,-3788.82371873325,-3218.00606537513,-2696.25607800571
"MaxDS_Even",2008,-3126.93548387097,-3991.37931034483,-1325.87438124421,-2509.04140241311,-2549.11856733031,-2559.83143866394,-3693.81311986883,-3154.13780931464,-4207.81508996265,-3143.77948942697,-1104.22648297959,-3039.7623329704
"MaxDS_Even",2009,-136.209184269605,-3808.03571428571,-4325,-1425.625679133,-2923.35659264008,-4850,-4295.74991485816,-3737.67275337663,-6948.43542486224,-5635.26877446732,-3604.57190923802,-3127.4023463308
"MaxDS_Even",2010,-3439.51612903226,-3982.14285714286,-3905,-3381.07740909152,-3476.09458353915,-4475,-11168.4652788691,-10807.2900942566,-9979.65247927855,-9558.5851404775,-9224.699657093,-5290.32258064516
"MaxDS_Even",2011,-4516.12903225806,-4223.21428571429,2887.37340277588,-3954.29917656997,-4729.73836711466,-5000,-9358.73965419881,-6091.03267452163,-9301.85878443345,-525.155774759368,-9323.25169486949,-8700.95453892859
"MaxDS_Even",2012,-2990.02793599534,-1736.41274415948,-3905,-2712.07069341254,-3104.34038078831,-4475,-8279.72744672189,-5116.06252006029,-5152.6577090008,-4125.96429266492,-4817.2460212894,-5290.32258064516
"MaxDS_Even",2013,-4363.70967741936,-1692.08789441444,-3500,-1887.01961178383,-2580.27974673371,-4400,-6132.63208605873,-4897.67747914822,-5198.79808046524,-1819.66347160757,-1907.35732701634,-1936.2537912495
"MaxDS_Even",2014,-574.272075142558,-3808.03571428571,-4325,-1480.9175373406,-1444.70519387194,-1487.31787080114,-1573.69112013175,-2375.81542802857,-2599.35000655279,-2123.96943729356,-872.318968740028,-5290.32258064516
"MaxDS_Hist",1995,-3645.16129032258,-4464.28571428571,-3884.66306220472,-3826.98276551887,-561.20142199928,-3666.76721591146,-8272.16141100372,-8388.00614004211,-6268.63312039354,-4645.0137200293,-9941.43935449314,-5290.32258064516
"MaxDS_Hist",1996,-4516.12903225806,-4625,-4550,-4130,-4026.60444954453,-1772.51765080023,-10267.3345190547,-11533.2439920614,-6397.00387467665,-4062.78531312992,-8606.05234913788,-2958.81819609224
"MaxDS_Hist",1997,25246.1574441525,-2097.44042753222,-4535.32409158221,-3481.89010481645,-3009.08299290184,-2362.79007689525,-10450.907545773,-4910.46484912772,-4904.97706212645,-3143.42713802999,-8433.35693085165,-5290.32258064516
"MaxDS_Hist",1998,-4516.12903225806,4396.78509604234,-4550,-2267.95809286611,-191.334614896957,-2204.29465728204,-8324.66397852917,-9417.11946192768,-9716.95224175781,-7746.52254225983,-8747.13308882846,-5290.32258064516
