"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxDS_Hist",2014,-850.585425245309,-4147.83891962696,-4325,-1591.44948167295,-1797.6959544377,-1799.59143698948,-2033.54633486566,-1837.82766639784,-2884.16280816128,-2046.57102109697,-2561.57710220069,-5290.32258064516
"MaxWater",1995,-3645.16129032258,-4464.28571428572,-4025,-3690.22347718588,-1481.14978533862,-4693.78585801308,-6975.26128998207,-9871.15630798937,-10526.7460225501,-9639.75185716226,-9868.56797111528,-5290.32258064516
"MaxWater",1996,-4516.12903225807,-3502.02533153504,-4550,-4130,-4134.59366001043,-4505,-11016.6023332408,-10993.3630082174,-11114.1565637428,-9447.86823711327,-8353.95677602116,-5067.63216660747
"MaxWater",1997,21931.4223698046,1457.15325962256,-3650,-3478.1061101065,-4045.0188065044,-4077.9789447184,-10557.3006743926,-11084.3627999387,-11076.4096896998,-9663.38124977095,-8884.39131670874,-9882.14457782527
"MaxWater",1998,-3645.16129032258,2740.07084678985,-2455.27585917007,-2407.75409540688,-1477.95958382862,-3261.92273776848,-6616.85486020468,-8822.02466643216,-9526.19042091592,-8631.89662356499,-8690.26563798042,-5290.32258064516
"MaxWater",1999,-4516.12903225806,-4223.21428571429,-3650,-3457.61126314553,-4010.36270078195,-4505,-11117.7898225805,-11228.1524584982,-11093.49109962,-9577.18200297036,-9390.11115188953,-3962.64820028181
"MaxWater",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-9866.92727667688,-9813.440151521,-9847.9171086943,-8508.92749575786,-5568.98582309094,-3893.908010415
"MaxWater",2001,-4745,-3580.35714285714,-3905,-2068.95827822309,-3008.19745188939,-4400,-8270.59050942299,-5772.47887109156,-5312.48595321845,-4997.33272751676,-5989.85753056116,-5290.32258064516
"MaxWater",2002,-3875.96774193548,-4030.35714285714,-3500,-2679.92752661926,-2697.75105664709,-4400,-10708.8047759906,-5651.4144927281,-5822.35766148005,-5067.24349263788,-5851.83621925146,-5290.32258064516
"MaxWater",2003,-3875.96774193548,-3741.07142857143,-3500,-2550.16820913911,-3402.74881467467,-4490,-10903.7414452061,-10821.779034619,-11290.7075514105,-9103.24084744631,-5608.75707084762,-5290.32258064516
"MaxWater",2004,-4343.38709677419,-4187.93103448276,-3575,-2771.69026060684,-2731.3822976992,-4475,-11266.4801124917,-11164.6148361041,-6988.09815994612,-7552.86541385529,-6446.31620051209,-5290.32258064516
"MaxWater",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9745.09386323773,-10728.7324170553,-10342.264496344,-9280.41884234146,-9500.85998226563,-5290.32258064516
"MaxWater",2006,-3635.32633338461,-4464.28571428571,-826.110914527541,1947.90664183334,1195.93251160241,-4468.09750997606,-9660.37035326958,-9977.40408284864,-9952.04323062708,-9261.40769679608,-9308.27872275885,-9506.94412363681
"MaxWater",2007,-5000,-3625.89285714286,-3500,-2450.61214385551,-2759.53471640833,-4400,-11514.6352115981,-5775.18628895625,-7313.48000666505,-6519.28701638579,-6196.91498957394,-3879.06348433568
"MaxWater",2008,-3126.93548387097,-4040.51724137931,-2775.14216631993,-2390.09936307564,-2506.09699439588,-3580.55384838375,-4030.58731271592,-3125.66067981886,-4479.59408036997,-3543.55272205176,-3186.64428084207,-2202.15551465559
"MaxWater",2009,-3009.52847624585,-3808.03571428571,-3905,-2791.02407331909,-3029.5736915269,-4400,-6050.14097884507,-5223.67561048929,-6298.69420421195,-5416.82781404646,-3867.15614796346,-3767.41368941586
"MaxWater",2010,-3126.93548387097,-4030.35714285714,-3905,-3534.64350797015,-3626.3240035782,-4475,-10632.4211328439,-11452.7663554187,-8806.19566143948,-9193.8567443172,-9211.17138507337,-5290.32258064516
"MaxWater",2011,-4363.70967741936,-4167.32316985351,2134.50917098188,-3742.8506459122,-4776.69084209262,-3667.07910019484,-8099.33119740921,-9118.63634883106,-9721.21546584959,-8710.10786121316,-9102.76624199705,-6816.05360805902
"MaxWater",2012,-5000,-4250,-3905,-2741.86270874053,-3155.46316842444,-4475,-10927.2359644514,-10730.5049846573,-6499.85284730148,-6049.30418629389,-7325.86350208212,-5290.32258064516
"MaxWater",2013,-4775,-3643.75577120783,-3500,-2003.54913893699,-2936.24729895389,-4400,-11019.0398846309,-5572.9242616398,-5272.48817155789,-1425.99366648335,-3458.64175499533,-2556.96446526423
"MaxWater",2014,-762.241906091839,-4625,-4325,-1599.53807089302,-1818.64115774352,-1566.414711564,-1655.69097296723,-1404.75216172084,-3080.24139501569,-2181.67678994202,-1173.42783622252,-5290.32258064516
"StatusQuo",1995,-3645.16129032258,-4464.28571428572,-4025,-3666.75755800715,-1480.2430912409,-4696.8427491219,-6977.16294429054,-9872.26324876248,-10527.613086908,-7936.14993263909,-9869.48991123982,-5290.32258064516
"StatusQuo",1996,-4516.12903225807,-3586.84911626774,-4550,-4130,-4134.16156525944,-4505,-11015.372179906,-10646.6775580645,-7097.20999995034,-8127.47961547991,-8354.84863218909,-5069.84677079743
"StatusQuo",1997,19363.2668998064,980.684541575844,-3650,-3477.2273208555,-4044.75071658245,-4078.06734654343,-10559.0374908401,-11085.0235598563,-8693.2905803313,-5380.22264022915,-8885.16988285321,-9882.38653609718
"StatusQuo",1998,-3645.16129032258,2734.8943392104,-4298.77107949459,-2410.68646427153,-1480.52406019482,-3264.69831872014,-6618.32183904639,-8822.87805753926,-9526.86693108525,-8632.56193460801,-8691.01444883715,-5290.32258064516
"StatusQuo",1999,-4516.12903225806,-4223.21428571428,-3650,-3457.21013642545,-4010.03361332936,-4505,-11118.6136218338,-11228.8564166724,-8331.97498210431,-7296.69743973235,-9390.71298279858,-8356.06937875696
"StatusQuo",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-9852.9560384841,-9524.05375862567,-5249.34451280609,-8103.73415754901,-8934.2463287687,-4595.42809239938
"StatusQuo",2001,-4745,-3580.35714285714,-3905,-2057.42977312991,-2891.09427894274,-4324.57304175449,-5968.12607045901,-4472.58599119356,-5547.49892725058,-3937.25999850588,-6020.13170163483,-5290.32258064516
"StatusQuo",2002,-3875.96774193548,-4030.35714285714,-3500,-2678.15225625997,-2695.11096826262,-4400,-11465.0938752582,-6299.97683036539,-5766.69920557602,-5215.30368182819,-5866.03459394195,-5290.32258064516
"StatusQuo",2003,-3875.96774193548,-3741.07142857143,-3500,-2549.99941389856,-3402.5055609083,-4490,-10899.1685451578,-10579.4115913319,-9937.89222942126,-3320.61882214787,-8848.79566406337,-5290.32258064516
"StatusQuo",2004,-4343.38709677419,-4187.93103448276,-3575,-2768.28506583885,-2725.33745328666,-4475,-11269.4626847292,-11584.624737251,-7298.03057634941,-7134.83780703005,-5829.15165317666,-5290.32258064516
"StatusQuo",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9740.63392223716,-10766.2565060721,-10342.745904242,-9368.68658241179,-9502.4556615285,-5290.32258064516
"StatusQuo",2006,-3953.70766806388,-4464.28571428571,-911.116621045897,1946.48258695922,1194.36586366225,-4469.01566905762,-9660.86669046834,-9977.87190093568,-9952.44863766442,-7606.96625073971,-9308.67875439774,-9516.68922656348
"StatusQuo",2007,-5000,-3625.89285714286,-3500,-2452.58316065231,-2761.5377272795,-4400,-11524.9114216388,-5772.96064584035,-7305.04167570017,-6533.50378677861,-5380.76927974288,-3698.72876902137
"StatusQuo",2008,-3126.93548387097,-4040.51724137931,-2775.54072807064,-2361.78165298742,-2500.21527517858,-3509.97684662679,-3966.88293279833,-3077.60438406833,-4541.28804050063,-3490.36472354896,-3636.88198729567,-2653.56509723433
"StatusQuo",2009,-2038.66037882365,-3808.03571428571,-3905,-2790.55741998282,-3032.85190517369,-4400,-6051.79340000604,-5184.3172685796,-6296.08084410806,-5383.00993379036,-3854.60456896561,-3751.33679107324
"StatusQuo",2010,-3126.93548387097,-4030.35714285714,-3905,-3517.03156275368,-3626.80012921531,-4475,-10624.6150977341,-11453.1152851849,-8805.89152177155,-9194.92126909882,-9212.04458888832,-5290.32258064516
"StatusQuo",2011,-4363.70967741936,-4180.56765017739,2060.44145562264,-3743.95022574312,-4777.70907750311,-3668.06065313708,-8054.95048813216,-9119.11264987268,-9721.64153068602,-8710.57499525262,-9106.4218108857,-6812.9810975532
"StatusQuo",2012,-5000,-4250,-3905,-2741.6323127145,-3156.19087265313,-4475,-10929.8835730178,-10734.9019222171,-6496.5934263316,-6048.16672363958,-7313.48319925577,-5290.32258064516
"StatusQuo",2013,-4775,-3816.81769338556,-3500,-2003.1050682847,-2935.98256446475,-4400,-11021.0621057288,-5568.13564103565,-5272.91556230513,-1423.40049090367,-3458.76846566154,-2556.05936054136
"StatusQuo",2014,-767.211758628707,-4625,-4325,-1599.33472233378,-1818.48832809413,-1566.57011208607,-1652.82626575532,-1406.17268165314,-3081.15415740508,-2181.85659982325,-1170.93071788218,-5290.32258064516
"Summer_Even",1995,-3645.16129032258,-4464.28571428571,-4025,-3662.6381977846,-1476.83783205877,-4693.9571062005,-6975.62659362871,-9871.38417734609,-10526.9789616158,-9640.00823201539,-9868.84193899361,-5290.32258064516
"Summer_Even",1996,-4516.12903225806,-3594.96047270241,-4550,-4130,-4134.45608532829,-4505,-11016.8284230186,-10992.9800637572,-11114.4064064677,-9336.37997891357,-8354.2135433162,-5068.28096591326
"Summer_Even",1997,22449.1977653408,1463.07775512416,-3650,-3472.90016773538,-4041.75909861342,-4505,-10762.0339193212,-11084.5521694499,-10262.7862084038,-8497.7589938457,-8510.10861824971,-9882.21430321077
"Summer_Even",1998,-3645.16129032258,2739.39564837737,-3520.77546004875,-2408.45954465557,-1478.62494693812,-3262.58007290994,-6617.25630165487,-8822.24762959485,-9526.36675095793,-8632.06822813222,-8690.45634264229,-5290.32258064516
"Summer_Even",1999,-4516.12903225806,-4223.21428571428,-3650,-3457.50408813236,-4010.27604476906,-4505,-11118.0838844681,-11228.3642000562,-11093.7004730136,-9577.38769225969,-9390.27454428159,-3810.31792705869
"Summer_Even",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-10397.2581638904,-9820.8258535398,-10532.5933075275,-7389.35839317265,-6213.52912488793,-2844.66270066005
"Summer_Even",2001,-4745,-3580.35714285714,-3905,-2069.06575653429,-3022.02788379344,-4400,-6251.71750205509,-4819.58825873258,-5574.16645828545,-3936.83996566166,-6023.44204764621,-5290.32258064516
"Summer_Even",2002,-3875.96774193548,-4030.35714285714,-3500,-2679.8362185166,-2697.83802596385,-4400,-11466.6475566717,-6553.10532783454,-5733.58249088236,-5083.05298556754,-5882.51388890835,-5290.32258064516
"Summer_Even",2003,-3875.96774193548,-3741.07142857143,-3500,-2550.15906767488,-3402.88708141896,-4490,-11470.5825112667,-10576.372353709,-11289.5555807751,-6634.54718578109,-5895.69009624026,-5290.32258064516
"Summer_Even",2004,-4343.38709677419,-4187.93103448276,-3575,-2772.11859003368,-2736.96348488827,-4475,-11265.2866148694,-11158.1378941828,-6935.77055902039,-7265.07734862764,-6256.06501523889,-5290.32258064516
