"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1955-01-31,3496.31940355929,1804.08993718846,551.839048089329,2,147.82706995,916.152,2622.40434462062,3931.8083688837,"MaxWater_noSMSCG",1955,1
1955-02-28,3592.77859762006,1832.55758385194,552.441338277577,3,46.8376648,391.96652,2900.32950481831,2471.14702790299,"MaxWater_noSMSCG",1955,2
1955-03-31,3770.70686761175,1919.93828515445,562.286171576638,4,34.60232125,313.02765,2454.01662527441,1962.36441084594,"MaxWater_noSMSCG",1955,3
1955-04-30,3977.90310090736,2073.52630839639,642.286148114247,4,30.45736675,297.32407,1116.4517510259,2069.62923028609,"MaxWater_noSMSCG",1955,4
1955-05-31,4004.06015924604,2133.66260603396,684.567084250473,4,41.9087779,297.68802,1223.9059571824,2473.47193694398,"MaxWater_noSMSCG",1955,5
1955-06-30,3545.24835721818,1883.74311410669,681.631785047028,4,40.6981264,304.1875,1088.0719534199,2652.83527660221,"MaxWater_noSMSCG",1955,6
1955-07-31,3147.67169463297,1581.92046852894,529.353518704299,4,36.45753445,404.53513,1064.98718002932,3642.50693342513,"MaxWater_noSMSCG",1955,7
1955-08-31,2885.49294139398,1332.99394243299,437.394963390654,4,39.001225,713.97546,1122.80593573677,2439.51268754876,"MaxWater_noSMSCG",1955,8
1955-09-30,2768.58583112514,1307.72073019095,426.446118481367,4,73.41139255,1065.0344,1132.55423895507,4423.79939562125,"MaxWater_noSMSCG",1955,9
1955-10-31,2648.57832531145,1162.30654656395,367.914837167657,4,141.1552285,1788.7585,1863.45101975082,2616.98360851861,"MaxWater_noSMSCG",1955,10
1955-11-30,2613.87325830236,1063.69232324481,348.578178598024,4,176.97171145,1693.6198,2576.02697173816,2143.71453041442,"MaxWater_noSMSCG",1955,11
1955-12-31,3279.44641617118,2504.69643694502,566.999999999999,4,161.1090874,1775.6895,5910.04792700142,4598.607950957,"MaxWater_noSMSCG",1955,12
1956-01-31,3252.1,2687.89990234375,567,4,95.0038219,533.75287,9071.6,4598.20185195277,"MaxWater_noSMSCG",1956,1
1956-02-29,3402.26504410537,2687.89990234375,567,1,33.05208655,190.55923,6227.20721168036,4597.15194369147,"MaxWater_noSMSCG",1956,2
1956-03-31,3859.78663877914,2914.39990234375,756,1,26.9807325,192.07843,4341.59915773432,3338.28189299233,"MaxWater_noSMSCG",1956,3
1956-04-30,4517.0866438208,3318.03488653422,900,1,23.807067,211.11047,3836.49994768708,3839.65683261682,"MaxWater_noSMSCG",1956,4
1956-05-31,4552.1,3425.19995117188,967,1,22.1810355,216.30008,3386.72296312279,4600,"MaxWater_noSMSCG",1956,5
1956-06-30,4500,3425.19995117187,967,1,19.295043,192.75702,3432.53040687613,4599.99999999999,"MaxWater_noSMSCG",1956,6
1956-07-31,4150,3059.14948277455,942,1,19.217127,180.44151,7180,4590.73226598506,"MaxWater_noSMSCG",1956,7
1956-08-31,3700,3028.64355940645,792,1,18.657669,245.61253,7180,4592.28852900449,"MaxWater_noSMSCG",1956,8
1956-09-30,3400,3055.4155467054,752,1,29.936115,543.58514,7180,4600,"MaxWater_noSMSCG",1956,9
1956-10-31,3250,2975.39990234375,712,1,61.69458655,879.9837,6680,4598.14645322844,"MaxWater_noSMSCG",1956,10
1956-11-30,3223.94688774075,2953.75186086397,567,1,44.369941,630.19244,5232.86386176012,6045.77524468918,"MaxWater_noSMSCG",1956,11
1956-12-31,3259.8621078874,2885.64097488883,546.172113200035,1,78.48487705,1093.9607,3666.44692929686,2831.8103422701,"MaxWater_noSMSCG",1956,12
1957-01-31,3439.75474840053,2851.68171381078,523.598516412012,1,218.75345245,1735.5315,3361.01641038743,1882.58767899866,"MaxWater_noSMSCG",1957,1
1957-02-28,3827.55091701526,2746,567,3,163.07265475,1328.7961,2324.0747407947,3483.16233858678,"MaxWater_noSMSCG",1957,2
1957-03-31,4081.55521656824,2886.80004882813,756,3,85.730224,440.7515,2299.9162952214,3447.14959659778,"MaxWater_noSMSCG",1957,3
1957-04-30,4330.60961253875,3072.32008315863,842.940918388008,3,32.86757755,234.06764,1425.71420584419,2643.97378923436,"MaxWater_noSMSCG",1957,4
1957-05-31,4552.1,3362.46137816775,967,3,30.0037305,240.67848,1986.97525753412,2980.46288630118,"MaxWater_noSMSCG",1957,5
1957-06-30,4297.34889175989,3291.46309685559,967,3,29.712015,245.18462,1630.22794293197,3019.19920440488,"MaxWater_noSMSCG",1957,6
1957-07-31,3599.85457747989,2630.00794559262,739.314844334694,3,25.5990735,289.4141,6719.50891828627,4269.22396843049,"MaxWater_noSMSCG",1957,7
1957-08-31,3325.68589270544,2108.67045609648,642.274357082177,3,38.4758104,764.92944,6779.29798854369,3634.01513460818,"MaxWater_noSMSCG",1957,8
1957-09-30,3386.77288123271,2075.07169206228,609.019633094306,3,85.14509905,1314.6149,3909.30695922283,4596.97579210957,"MaxWater_noSMSCG",1957,9
1957-10-31,3250,2080.89108381914,605.238448287698,3,150.765457,1661.856,300,1698.14645322844,"MaxWater_noSMSCG",1957,10
1957-11-30,3199.40153856247,2003.96237828763,566.783507881813,3,110.6048929,516.4651,2938.05446865917,5209.22869007299,"MaxWater_noSMSCG",1957,11
1957-12-31,3349.91457747616,2121.28825250957,567,3,28.0652475,662.16095,2640.40685767979,3959.21823747669,"MaxWater_noSMSCG",1957,12
1958-01-31,3584.4837857848,2426.07583451567,566.999999999999,3,95.87632945,844.13086,2720.30144648714,4078.65402168349,"MaxWater_noSMSCG",1958,1
1958-02-28,3252.1,2687.89990234375,567,2,40.21447,292.47437,4022.65188465054,4597.05022739473,"MaxWater_noSMSCG",1958,2
1958-03-31,3418.38,2687.89990234375,756.000000000003,1,37.0689079,239.77855,8187.88300133688,3919.7954447696,"MaxWater_noSMSCG",1958,3
1958-04-30,3935.43047057183,3129.126657176,900,1,28.218054,207.70145,6680,3038.72151366184,"MaxWater_noSMSCG",1958,4
1958-05-31,4552.1,3425.19995117188,967,1,28.481181,185.76317,5388.81316753897,4600,"MaxWater_noSMSCG",1958,5
1958-06-30,4500,3425.19995117188,967,1,22.274601,169.30931,5637.35483056009,4600,"MaxWater_noSMSCG",1958,6
1958-07-31,4150,3425.19995117188,942,1,15.7846095,156.35515,7180,4590.73226598506,"MaxWater_noSMSCG",1958,7
1958-08-31,3700,3392.73092207064,792,1,16.5103935,203.30437,7180,4599.99999999999,"MaxWater_noSMSCG",1958,8
1958-09-30,3400,3240.69995117188,752,1,22.0716135,329.24902,7180,4600,"MaxWater_noSMSCG",1958,9
1958-10-31,3250,3057,711.757701924317,1,25.6438245,346.0179,6680,4598.14645322845,"MaxWater_noSMSCG",1958,10
1958-11-30,3252.1,2954.75339711362,567,1,23.5182315,423.6472,5951.43202848565,5327.20707796365,"MaxWater_noSMSCG",1958,11
1958-12-31,3224.34060385249,2895.34621741844,529.242075381511,1,67.59828175,1061.152,3545.74505469414,3850.66515388284,"MaxWater_noSMSCG",1958,12
1959-01-31,3664.10420488231,2875,555.610400860017,1,210.0220585,1756.1327,2343.60049873816,3513.60260006002,"MaxWater_noSMSCG",1959,1
1959-02-28,3771.48378104051,2738.19995117187,567,3,152.545681,875.3911,2842.47087804462,4260.75654446166,"MaxWater_noSMSCG",1959,2
1959-03-31,4215.46785932786,2949.80004882813,602.415263400511,3,41.8593931,254.36555,1892.71186754552,2836.34295508397,"MaxWater_noSMSCG",1959,3
1959-04-30,4315.32100430304,3127.89449004168,671.95758923683,3,29.4340995,240.12485,1284.03794764499,2380.86073829299,"MaxWater_noSMSCG",1959,4
1959-05-31,4098.78707151652,2977.46163664404,614.470989460804,3,29.24436,257.80322,1360.86869252078,2521.96204153896,"MaxWater_noSMSCG",1959,5
1959-06-30,3525.9022274651,2726.94890726217,627.140736081037,3,28.68972,327.51035,1560.05508788046,2888.87818788065,"MaxWater_noSMSCG",1959,6
