"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
2000-04-30,3768.08909434254,"MaxWater_noSMSCG",2000,4,"Above Normal"
2000-05-31,8099.95290864541,"MaxWater_noSMSCG",2000,5,"Above Normal"
2000-06-30,8939.9618329705,"MaxWater_noSMSCG",2000,6,"Above Normal"
2000-07-31,16000,"MaxWater_noSMSCG",2000,7,"Above Normal"
2000-08-31,9761.66188790647,"MaxWater_noSMSCG",2000,8,"Above Normal"
2000-09-30,8919.04172184513,"MaxWater_noSMSCG",2000,9,"Above Normal"
2000-10-31,7259.81520065319,"MaxWater_noSMSCG",2000,10,"Above Normal"
2000-11-30,4625.32881435018,"MaxWater_noSMSCG",2000,11,"Above Normal"
2003-04-30,11060.9657296582,"MaxWater_noSMSCG",2003,4,"Above Normal"
2003-05-31,13400.4381331247,"MaxWater_noSMSCG",2003,5,"Above Normal"
2003-06-30,6951.43649619162,"MaxWater_noSMSCG",2003,6,"Above Normal"
2003-07-31,16000,"MaxWater_noSMSCG",2003,7,"Above Normal"
2003-08-31,7617.15308866791,"MaxWater_noSMSCG",2003,8,"Above Normal"
2003-09-30,9788.39943262008,"MaxWater_noSMSCG",2003,9,"Above Normal"
2003-10-31,8217.16645219153,"MaxWater_noSMSCG",2003,10,"Above Normal"
2003-11-30,4318.45400217452,"MaxWater_noSMSCG",2003,11,"Above Normal"
1922-04-30,5770.8333335,"StatusQuo",1922,4,"Above Normal"
1922-05-31,7099.63954976016,"StatusQuo",1922,5,"Above Normal"
1922-06-30,9209.18936956167,"StatusQuo",1922,6,"Above Normal"
1922-07-31,11405.4121425196,"StatusQuo",1922,7,"Above Normal"
1922-08-31,9158.80491528735,"StatusQuo",1922,8,"Above Normal"
1922-09-30,7245.9013629061,"StatusQuo",1922,9,"Above Normal"
1922-10-31,6599.99738622334,"StatusQuo",1922,10,"Above Normal"
1922-11-30,3704.16146638737,"StatusQuo",1922,11,"Above Normal"
1928-04-30,4513.30580569027,"StatusQuo",1928,4,"Above Normal"
1928-05-31,8194.60565580316,"StatusQuo",1928,5,"Above Normal"
1928-06-30,12236.0439791727,"StatusQuo",1928,6,"Above Normal"
1928-07-31,16000,"StatusQuo",1928,7,"Above Normal"
1928-08-31,14370.0396872667,"StatusQuo",1928,8,"Above Normal"
1928-09-30,10158.1872978461,"StatusQuo",1928,9,"Above Normal"
1928-10-31,7581.81040230694,"StatusQuo",1928,10,"Above Normal"
1928-11-30,5788.76738425642,"StatusQuo",1928,11,"Above Normal"
1953-04-30,5770.8333335,"StatusQuo",1953,4,"Above Normal"
1953-05-31,7461.78137704272,"StatusQuo",1953,5,"Above Normal"
1953-06-30,8864.48153948131,"StatusQuo",1953,6,"Above Normal"
